"month","Mkt.RF","SMB","HML","RMW","CMA","RF","MOM","LIQ.agg","LIQ.innov","LIQ.v","NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Lo10","Dec2","Dec3","Dec4","Dec5","Dec6","Dec7","Dec8","Dec9","Hi10"
"196505",-0.77,0.04,-1.62,-0.47,0.74,0.31,0.54,-0.012941827,0.035068654,-99,-0.8,-3.53,-0.52,0.86,0.48,2.79,0.21,-1.24,-0.94,-1.72,-0.13,-1.59,-1.23,-0.41,-0.55,-0.29,-0.75,-0.87,-0.42,-0.27
"196506",-5.51,-4.31,0.58,0.13,0.44,0.35,-3.13,-0.163392854,-0.111628638,-99,-5.12,-6.83,-6.21,-1.98,-5.71,-4.14,-6.15,-5.31,-3.66,-6.96,-9.73,-9.92,-8.63,-9.01,-8.18,-8.01,-7.85,-7.31,-5.84,-3.96
"196507",1.43,1.04,2.22,-1.45,0,0.31,4.09,-0.08096848,-0.047633817,-99,1.58,2.3,2.06,1.81,3.6,-0.38,-1.41,3.95,1.06,3.39,2.63,3.42,3.47,3.53,3.21,3.52,2.74,3.56,2.33,1.11
"196508",2.73,2.74,-1.07,1.87,-0.72,0.33,2.58,-0.034744624,0.073394395,-99,4.06,3.21,3.64,1.56,5.88,1.33,2.3,6.29,0.92,5.07,4.1,4.38,4.21,5.15,7.41,5.16,4.08,4.29,3.47,2.48
"196509",2.86,0.6,-0.11,-1.08,0.84,0.31,3.32,0.026999793,0.062864064,-99,0.45,6.97,3.9,4.37,5.29,1.09,-0.66,2.24,1.37,1.83,3.03,2.09,2.73,4.85,3.53,3.34,2.94,3.12,2.85,3.26
"196510",2.6,3.41,1.6,1.23,-0.73,0.31,3.44,0.006197337,-0.02423726,-99,2.61,6.34,4.45,1.84,5.22,-2.29,0.3,3.23,1.06,4.23,8.11,6.52,5.64,5.95,5.79,4.84,3.71,4.01,3.62,2.17
"196511",-0.03,5.22,0.23,-1.07,-0.89,0.35,4.41,0.044465972,0.067953131,-99,1.1,-4.03,1.39,0.71,2.73,-4.32,1.4,3.8,-1.01,3.87,7.17,4.15,2.69,6.48,5.33,3.84,3.53,3.22,1.56,-1.2
"196512",1.01,2.69,2.08,-1.04,-0.5,0.33,0.15,0.040876306,0.02494458,-99,1.29,1.23,3.25,0.17,-1.54,-0.86,1.32,3.83,-0.32,3.48,5.2,3.67,4.47,5.52,2.16,3.19,2.94,1.58,1.8,0.68
"196601",0.72,4.67,3.57,-3.03,-0.06,0.38,5.42,0.039968854,0.023273601,-99,1.89,0.49,2.89,1.04,1.35,-1.3,-4.34,2.74,-3.06,5.26,8.54,6.68,6.54,5.03,4.22,4.34,2.37,3.47,2.8,-0.45
"196602",-1.21,4.79,0.36,0.11,-1.45,0.35,4.54,0.035016761,0.046739669,-99,-0.48,-1.5,-0.73,-3.47,5.03,0.48,-1.87,-1.55,-4.17,2.07,5.49,3.85,3.57,2.35,2.59,2.16,0.96,0.48,-1.03,-1.87
"196603",-2.51,0.24,-2.05,1.26,-0.04,0.38,1.35,-0.066238824,-0.064216672,-99,-2.63,-3.06,-1.79,-2.23,-0.9,-4.84,-2.15,-1.6,-0.12,-2.85,0.5,-1.96,-3.5,-0.56,-2.73,-3.33,-2.94,-1.66,-0.52,-2.46
"196604",2.14,3.37,-0.45,0.42,-0.92,0.34,6.21,0.026812452,0.056303005,-99,0.42,0.11,2.79,3.13,7.65,1.26,3.08,-0.02,1.19,3.04,6.99,5.14,8.15,4.69,3.66,3.74,3.24,3.02,2.23,1.85
"196605",-5.66,-5.15,-1.65,1.74,-1.5,0.41,-4.72,-0.121194404,-0.076905033,-99,-4.92,-8.11,-5.61,-3.74,-6.05,-2.98,-2.86,-5.25,-2.73,-7.85,-13.08,-9.3,-9.38,-10.21,-8.8,-7.67,-6.99,-6.27,-5.41,-4.01
"196606",-1.44,1.38,0.49,-0.05,0.77,0.38,3.31,-0.053360838,-0.010892444,-99,-1.76,-2.11,-0.98,-2.28,-0.13,0.49,-2.37,0.99,-1.78,0.73,-0.16,1.03,0.48,0.3,-0.37,0.59,-0.9,0.94,-0.49,-1.74
"196607",-1.63,-0.35,0.82,-0.54,1.64,0.35,-1.41,-0.032997534,0.008644063,-99,-1.16,-2.44,-1.51,0.4,-1.76,-1.17,-1.98,-1.72,-0.18,-2.04,-2.05,-1.77,-1.13,-2.31,-0.73,-1.11,-1.42,-1.78,-0.8,-1.25
"196608",-7.91,-3.06,0.56,0.2,0.87,0.41,-2.09,-0.10665391,-0.085074676,-99,-7.21,-7.47,-7.92,-6.36,-5.98,-4.6,-6.37,-8.07,-8.61,-11.72,-11.7,-9.7,-11.16,-10.07,-9.41,-8.75,-9.06,-8.03,-8.06,-6.76
"196609",-1.06,-1.12,0.5,-1.23,2.45,0.4,-1.77,-0.08781642,-0.043587442,-99,-1.48,-1.04,-3.6,3.94,-1.9,-0.57,-1.94,-1.13,4.37,-1.85,-2.22,-1.64,-1.91,-1.57,-1.15,-1.8,-0.95,-1.26,-1.43,-0.21
"196610",3.86,-6.46,2.81,-3.59,4.23,0.45,-5.13,-0.206519452,-0.083260861,-99,4.5,0.57,2.5,8.47,0.3,9.19,-1.43,4.87,9.95,3.14,-5.28,-2.5,-0.41,-1.59,0.85,2.11,0.79,3.5,5.05,5.4
"196611",1.4,3.49,-4.6,4.15,-6.7,0.4,5.73,-0.054098778,0.050154311,-99,2.34,-3.51,2.69,-1.14,10.88,-2.84,0.71,6.89,-1.36,7.91,4.07,5.65,3.42,4.73,5.64,3.27,5.67,2.68,1.75,0.95
"196612",0.13,1.95,-1.29,0.91,-0.2,0.4,1.07,-0.023814897,0.045640432,-99,0.22,-2.61,1.37,-0.66,0.41,2.98,-4.04,-0.17,2.11,2.08,1.47,2.24,2.59,1.95,2.26,1.86,2.46,2.55,2.21,-0.53
"196701",8.15,9.08,2.03,0.62,-3.19,0.43,-6.75,-0.027405442,0.0124881,-99,9.42,12.19,11.19,3.59,10.2,6.23,11.85,6.41,2.81,11.98,20.69,16.54,18.94,17.68,13.61,14.17,10.99,9.03,8.34,7
"196702",0.78,3.09,-2.26,2.11,-0.99,0.36,3.56,-0.07257262,0.015732657,-99,2,-1.01,1.19,-0.07,6.17,2.15,3.21,1.42,-1.72,-0.25,6.56,4.96,2.98,3.13,2,1,1.64,0.48,1.03,0.81
"196703",3.99,2,0.19,0.67,-1.63,0.39,1.43,-0.008628792,0.036167859,-99,4.46,4.27,5.76,3.61,5.44,2.94,2.38,7.83,1.54,4.17,6.93,6.58,6.9,6.98,5.74,5.58,5.43,5.1,4.39,3.82
"196704",3.89,0.45,-2.54,2.53,-3.69,0.32,0.62,-0.001526762,0.020205721,-99,4.59,10.83,3.71,1.67,7.73,0.19,9.15,4.46,1.87,2.23,4.92,4.1,3.91,3.73,4.41,4.51,3.88,4.89,2.83,4.45
"196705",-4.33,2.36,0.89,-1.88,1.64,0.33,0.59,0.01392071,0.025315405,-99,-2.63,-7.28,-3.64,-2.42,-4.44,-5.67,-4.67,-5.29,-4.12,-1.88,-0.24,-0.26,-2.06,-1.32,-2.52,-0.85,-0.76,-2.22,-3.86,-5
"196706",2.41,6.52,0.95,-0.65,-2.39,0.27,6.04,-0.06197855,-0.047439232,-99,2.65,1.52,2.09,2.28,6.32,2.72,3.83,5.38,-1.32,3.77,13.3,11.07,7.23,8.67,5.81,5.15,4.6,3.66,2.11,1.42
"196707",4.58,3.23,2.65,-1.58,2.72,0.31,-1.09,-0.028372898,0.015454465,-99,6.03,10.71,5.08,6.92,3.92,-6.62,5.98,3.79,2.29,7.87,10.4,9.06,8.77,7.55,6.79,6.01,5.36,5.89,5.18,4.09
"196708",-0.89,0.74,1.46,0.51,1.4,0.31,-1.41,0.029069793,0.070754329,-99,-0.84,0.08,-0.48,-1.46,-1.01,-1.25,0.46,0.66,-0.71,-0.25,1.3,-0.3,0.69,-1.17,0.27,0.02,0.41,-0.45,-0.37,-0.9
"196709",3.11,2.38,-2.46,-0.01,-0.92,0.32,2.55,0.023541225,0.031139949,-99,3.13,4.98,3.08,4.21,8.36,1.2,2.27,2.89,-0.12,1.36,8.88,7.54,5.81,4.74,3.17,4.03,4.51,1.22,2.23,3.47
"196710",-3.09,0.49,-3.38,0.9,-2.61,0.39,3.66,-0.030537222,-0.040562433,-99,-2.66,-4.88,-4.44,-0.99,4.8,-3.49,0.66,-5,-5.42,-5.17,-1.09,-2.57,-3.34,-1.7,-3.61,-2.45,-3.84,-5.12,-5,-1.76
"196711",0.37,0,-1.71,1.29,-2.29,0.36,1.29,-0.030663795,-0.010120236,-99,0.57,-0.69,0.67,0.78,1.37,0.09,0.88,1.33,3.18,-0.39,-1.09,1.1,0.33,1.13,1.47,0.47,1.64,0.73,0.4,0.75
"196712",3.05,5.72,-0.39,-1.03,0.08,0.33,3.23,0.001591165,0.03500788,-99,3.2,0.88,5.21,3.09,2.19,0.13,3.47,1.62,3.24,5.53,11.65,9.8,9.63,8.38,7.09,6.17,3.82,2.75,3.16,2.3
"196801",-4.06,4.52,4.77,-3.88,6.48,0.4,-4.64,-0.021520523,0.003377682,-0.020730968,-0.58,-5.16,-6.47,-0.89,-8.69,2.69,1.13,-6.57,0.2,-1.84,5.71,0.91,0.54,-0.84,-0.92,-3.12,-2.76,-3.67,-2.85,-4.56
"196802",-3.75,-2.91,1.15,-0.09,2.47,0.39,-3.4,-0.034595809,-0.017786353,0.021893099,-2.67,-2.3,-4.28,-2.65,-4.55,-2.4,-0.79,-4.24,-1.48,-3.56,-7.48,-5.97,-5.94,-6.19,-3.81,-4.73,-4.78,-4.19,-3.43,-2.33
"196803",0.2,-1.58,-0.59,1.03,-1.15,0.38,3.18,-0.116931838,-0.080931102,0.010261132,0.74,0.52,0.79,0.76,4.16,-1.12,2.84,0.1,-3.93,-0.09,-1.53,-0.71,-1.23,-1.18,-1.27,0.95,0.73,-0.38,-0.24,1.21
"196804",9.05,6.19,-1.02,2.04,-3.67,0.43,5.15,0.022450908,0.089222232,0.009063504,11.09,12.01,10.64,5.68,12.38,2.22,12.38,11.9,2.49,12.1,17.06,17.25,14.83,14.83,12.46,13.02,10.79,10.43,9.17,7.86
"196805",2.28,6.95,0.85,-0.22,-1.84,0.45,3.73,-0.020611245,0.010579341,-0.017026481,5.02,-0.37,3.17,1.26,3.81,-0.74,3.54,3.34,0.45,6.25,14.71,8.6,9.66,7.14,5.61,6.07,5.03,3.86,2.67,0.97
"196806",0.69,-0.26,0.68,-1,2.76,0.43,-1.92,0.008224888,0.034036851,-0.000337573,1.19,-1.65,-0.28,1.81,-2,4.15,0.37,2.25,8.44,2.98,1.56,-0.53,-0.01,0.75,2.28,-0.07,2.32,1.75,2.22,0.84
"196807",-2.72,-1.37,5.48,-3.16,3.6,0.48,-0.85,-0.010495543,0.009255596,-0.036022655,-3.9,-2.85,-4.29,5.28,-5.6,-0.19,-5.09,-4.1,0.17,-2.76,-2.24,-3.77,-1.81,-5.15,-2.71,-4.83,-5.48,-2.48,-2.3,-1.6
"196808",1.34,2.29,1.01,-0.57,0.42,0.42,1.88,-0.020198654,-0.007247701,0.0056594,2.81,1.16,3.28,1.28,0.53,1.26,2.27,0.68,-0.87,2.82,4.71,4.29,3.84,2.72,3.99,2.74,1.22,2.59,1.48,1.33
"196809",4.03,2.8,0.26,-2.19,0.9,0.43,-0.66,-0.008706623,0.01568734,0.009775848,4.86,6.87,4.51,3.53,2.95,2.95,7.9,0.85,0.27,9.17,7.36,6.7,7.07,7,7.41,4.77,6.86,6.88,5.5,3.01
"196810",0.42,-0.44,2.91,-1.36,2.77,0.44,-1.52,0.006605193,0.027552838,-0.001356843,0.87,4.7,0.94,2.55,-4.99,3.17,0.75,-0.05,0.49,1.1,0.16,0.1,1.25,0.09,1.57,1.17,1.13,0.61,1.54,0.74
"196811",5.43,2.43,-0.9,0.49,-2.5,0.42,1.73,-0.000225964,0.016840505,-0.009035536,4.66,-0.42,5.81,5.56,8.62,5.39,5.1,8.1,8.79,7.63,7.1,7.25,8.36,8.52,8.26,7.99,7.87,7.16,6.4,4.87
"196812",-3.94,3.6,0.02,-1.76,1.65,0.43,0.1,-0.028572054,-0.009430544,0.012288868,-1.04,-4.42,-3.52,-2.56,-5.37,-6.64,-4.08,-1.03,-2.88,-3.75,3.41,1.51,-1.28,-1.42,-1.44,-2.49,-3.09,-3.43,-2.87,-4.58
"196901",-1.25,-0.48,1.69,-1.52,1.37,0.53,-0.15,-0.033784758,-0.006227108,0.022415343,-1.2,-1.87,-0.35,-1.12,-4.68,1.2,-1.05,-0.23,2.41,0.88,-0.58,-0.85,-0.41,-0.49,-1.23,-1.95,-2.03,0.46,0.03,-0.96
"196902",-5.84,-4.11,0.92,2.1,0.79,0.46,-2.49,-0.025028028,0.01236188,0.05730402,-6.59,-3.37,-5.84,-4.6,-3.58,-3.32,-4.07,-5.14,-5.2,-8.35,-10.77,-9.61,-8.27,-8.47,-8,-7.55,-7.58,-7.21,-5.79,-3.51
"196903",2.64,-0.41,-0.45,-1.4,-0.42,0.46,3.95,-0.022565304,0.007838573,-0.015186961,0.76,5,2.53,7.09,5.46,-0.42,5.15,3.34,-1.29,0.75,3.05,3.3,2.45,2.04,2.47,1.83,1.77,2.28,1.03,4.09
"196904",1.46,-0.81,0.06,0.33,0.11,0.53,1.17,-0.012528958,0.010300208,0.015200954,1.03,1.3,1.31,-0.35,3.91,7.73,3.73,4.98,1.34,1.81,0.13,1.17,1.61,1.03,1.21,0.97,2.04,0.85,2.05,2.52
"196905",-0.1,-0.18,0.73,-1.02,1.51,0.48,1.68,0.011488125,0.04692637,0.008663908,1.19,-0.02,-0.87,3.69,-1.7,1.06,0.56,1.66,0.02,-1.11,1.27,0.76,0.55,-1.56,1.05,-0.17,-0.04,0.06,-0.76,0.64
"196906",-7.18,-5.47,-1.1,4.23,-1.53,0.51,-2.23,-0.047358946,-0.037871617,0.057603871,-7.33,-5.97,-6.8,-9.92,-0.13,-3.98,-5.43,-5.03,-5.74,-10.67,-13.77,-13.26,-11.68,-11.05,-11.09,-10.47,-9.21,-7.44,-6.51,-4.65
"196907",-7,-3.36,1.41,1.33,1.96,0.53,1.64,-0.122444028,-0.090017276,0.03232117,-6.93,-7,-5.58,-9.63,-5.42,-4.49,-8.53,-2.73,-2.98,-9.12,-11.58,-11.27,-9.78,-8.91,-8.52,-8.37,-7.37,-6.73,-6.34,-5.69
"196908",4.68,0.7,-3.85,1.2,-4.07,0.5,2.13,-0.087129504,-0.043677519,-0.012760972,5,3,4.12,6.58,7.03,1.66,8.17,9.2,-1.29,9.02,4.15,5.63,5.99,5.05,7.96,6.6,5.23,6.4,3.99,5.04
"196909",-2.98,1.31,-3.21,3.32,-0.88,0.62,2.53,0.013156871,0.090504307,0.020723512,0.26,-0.39,-2.1,-9.63,0.21,-4,-0.61,2.17,-4.14,-0.74,-3.29,-3.5,-0.86,-0.12,-1.12,-1.04,-1.54,-1.98,-0.95,-3.04
"196910",5.06,3.87,-3.22,-0.16,-2.02,0.6,-4.33,-0.060644336,-0.025353709,-0.059202497,8.35,3.87,6.6,-1.06,5.8,3.5,6.68,8.97,8.28,7.93,10.76,9.45,9.24,8.9,7.32,7.58,7.95,7.08,7.05,4.1
"196911",-3.79,-2.41,-1.11,1.31,0.31,0.52,3.6,0.016293009,0.041599532,0.031732891,-2.4,-4.43,-3.57,-4.51,-1.79,1.18,-4.27,0.34,-5.26,-5.54,-7.06,-6.8,-4.53,-3.89,-5.34,-4.37,-3.91,-3.65,-3.47,-2.73
"196912",-2.63,-3.7,-3.08,2.12,-2.08,0.64,5.04,-0.019720936,-0.024037145,0.026402553,-1.95,-3.43,-1.28,-3.01,-0.75,-5.51,-3.07,4.3,-0.65,-3.75,-8.71,-6.29,-7.11,-4.85,-3.03,-3.92,-1.82,-2.14,-2.48,-0.95
"197001",-8.1,3.09,3.07,-1.97,3.88,0.6,0.63,-0.110173381,-0.066136005,0.02112288,-4.29,-8.24,-7.21,-11.44,-9.07,-2.56,-5.9,-7.11,-4.23,-8.81,-1.88,-6.03,-5.23,-5.02,-6.56,-7.07,-6.9,-8.15,-6.11,-8.08
"197002",5.13,-2.57,4.02,-2.15,3.02,0.62,0.12,-0.081388086,-0.008780259,-0.054682738,4.72,5.86,4.81,5.38,2.95,7.95,5.31,5.57,8.36,9.39,2.83,3.71,3.77,3.51,4.12,4.82,4.51,6.76,7.77,5.6
"197003",-1.06,-2.43,4.25,-1.07,4.43,0.57,-0.28,-0.138437526,-0.063319302,0.002420451,-0.86,4.98,-0.5,-0.43,-2.58,2.29,-1.69,-5.1,2.91,-1.91,-4.13,-3.62,-2.39,-2.95,-1.71,-0.83,-0.25,-0.6,-0.39,0.04
"197004",-11,-6.29,6.39,-0.98,5.89,0.5,-0.73,-0.094261287,-0.02843063,0.040201197,-10.2,-8.77,-9.04,-9.15,-14.34,-8.79,-11.27,-10.12,-8.06,-13.7,-18.87,-17.01,-17.26,-16.99,-14.54,-14.58,-13.32,-11.51,-10.87,-8.45
"197005",-6.92,-4.41,3.63,-1.38,3.63,0.53,-2.68,-0.240558562,-0.19596306,-0.077147995,-7.51,-6.23,-7.75,2.63,-9.54,-3.74,-9.63,-7.74,-5.36,-8.29,-9.65,-9.48,-9.31,-11.59,-10.14,-9.78,-9.51,-8.44,-7.02,-4.82
"197006",-5.79,-2.15,0.79,0.01,2.84,0.58,5.78,-0.187612336,-0.136577874,-0.033266361,-1.56,-3.8,-4.72,-2.46,-11.76,-8.48,-4.02,-0.48,-4.7,-6.83,-8.09,-9.23,-7.48,-8.36,-5.13,-6.59,-5.36,-3.59,-4.75,-4.99
"197007",6.93,-0.68,1.05,-0.14,2.04,0.52,-2.94,-0.013782635,0.064857525,-0.002497175,6.69,10.32,4.95,12.77,2.41,10.27,10.58,2.14,8.71,8.02,4.06,6.04,7.3,7.3,8.37,6.72,8.58,8.77,7.3,7.32
"197008",4.49,1.54,1.08,0.66,-0.14,0.53,-6.49,-0.066604502,0.007929017,0.000257556,1.5,8.29,4.54,6.53,7.99,2.5,5.23,1.8,4.67,5.03,5.97,6.56,8.19,6.81,5.84,7.19,5.41,6.1,5.56,4.43
"197009",4.18,8.49,-5.5,0.38,-5.92,0.54,-8.92,-0.066822888,-0.013064864,-0.01664897,5.63,2.81,4.04,3.27,10.17,-0.93,7.96,8.01,-0.54,7.61,16.72,13.73,14.7,12.21,9.27,9.91,7.39,6.55,4.26,2.85
"197010",-2.28,-4.47,0.21,1.88,2.42,0.46,9.61,0.096239916,0.097485365,-0.015394011,0.65,-2.06,-3.14,2.97,-3.54,-3.75,-1.64,0.31,-0.8,-5.89,-8.81,-6.79,-6.53,-4.05,-5.08,-4.53,-3.91,-3.62,-2.11,-0.5
"197011",4.59,-4.01,1.69,1.69,1.57,0.46,2.88,-0.059825074,-0.045441965,-0.00483046,4.8,6.84,3.93,4.9,4.08,6.11,6.83,2.97,9.39,3.75,-2.81,-0.5,1.8,2.83,3.38,3.95,4.76,5.33,6.3,5.45
"197012",5.72,2.99,0.98,0.08,0.3,0.42,-2.21,-0.073008798,-0.013776503,0.048682921,7.45,6.27,8.03,2.28,4.43,6.85,5.36,5.34,7.13,8.37,9.16,9.28,7.94,9.2,8.14,8.32,8.98,8,6.39,5.19
"197101",4.84,7.57,1.35,-2.03,-0.17,0.38,-6.59,0.017755938,0.044013591,-0.046709163,4.92,3.76,6.02,0.39,5.44,9.75,8.28,4.92,2.95,7.79,17.43,12.27,12.86,9.88,10.12,7.91,6.83,7.7,5.16,3.47
"197102",1.41,2.04,-1.34,0.54,-0.76,0.33,0.81,-0.064480661,-0.036446598,-0.011862921,3.79,2.24,1.22,4.73,2.78,-5.3,3.68,1.31,-2.58,2.22,6.83,4.81,1.96,3.79,2.45,2.44,2.04,2.76,1.29,1.26
"197103",4.13,2.16,-3.99,2.01,-2.75,0.3,-1.22,0.031698493,0.063681011,0.015863635,4.47,3.48,4.23,2.72,8.08,0.73,6.77,3.68,2.39,5.94,6.19,5.47,5.5,5.78,7.41,5.79,5.02,5.02,3.33,4.08
"197104",3.15,-0.36,0.74,-1.41,0.75,0.28,1.31,-0.009982746,0.007375275,0.027683706,2.21,8.56,4.44,4.34,2.37,0.82,5,4.23,-3.54,4.34,1.47,2.94,3.35,3.26,4.85,4.76,4.03,3.96,3.48,3.45
"197105",-3.98,-1.18,-1.37,1.29,0.28,0.29,0.88,-0.019406459,-0.025126596,0.011454419,-3.05,-4.35,-2.21,-4.68,-6.11,-5.21,-1.9,-2.13,-3.69,-4.53,-6.51,-5.19,-5.32,-4.01,-4.27,-3.43,-2.48,-3.99,-2.68,-3.82
"197106",-0.1,-1.45,-2,1.49,-1.74,0.37,2.7,-0.044140681,-0.011130637,-0.029699577,-0.12,-0.52,0.44,1.04,-2.17,1.05,0.44,2.05,4.29,-1.32,-2.98,-1.17,-2.28,1.43,-1.24,-0.98,0.16,0.7,0.82,0.46
"197107",-4.5,-1.4,0.17,0.51,1.62,0.4,-2.36,-0.101409812,-0.031876724,0.001183329,-2.13,-5.28,-5.03,-2.15,-8.6,-3.69,-3.56,-2.17,-2.15,-3.86,-6.71,-6.49,-5.59,-5.38,-3.63,-5.83,-3.95,-4.62,-3.79,-3.86
"197108",3.79,-0.19,2.71,-0.37,2.62,0.47,3.51,-0.04506365,-0.006320622,0.027211918,3.13,10.53,6.49,-1.16,5.7,-0.24,6.2,3.15,-2.33,6.98,3.12,5.24,5.38,5.06,3.79,6.59,5.84,4.93,3.77,4
