"month","Mkt.RF","SMB","HML","RMW","CMA","RF","MOM","LIQ.agg","LIQ.innov","LIQ.v","NoDur","Durbl","Manuf","Enrgy","HiTec","Telcm","Shops","Hlth","Utils","Other","Lo10","Dec2","Dec3","Dec4","Dec5","Dec6","Dec7","Dec8","Dec9","Hi10"
"196505",-0.77,0.04,-1.62,-0.47,0.74,0.31,0.54,-0.012941827,0.035068654,-99,0.02,1.99,-0.74,-2.28,-0.04,1.66,0.27,-1.48,-1.24,-1.64,0.13,-2.08,-1.3,-0.49,-0.95,-0.47,-0.92,-0.9,-0.51,-0.75
"196506",-5.51,-4.31,0.58,0.13,0.44,0.35,-3.13,-0.163392854,-0.111628638,-99,-7.5,-8.68,-8.7,-7.63,-10.71,-8.5,-9.36,-6.35,-4.05,-8.03,-9.39,-9.25,-8.19,-8.99,-7.93,-7.93,-7.66,-7.25,-5.72,-4.14
"196507",1.43,1.04,2.22,-1.45,0,0.31,4.09,-0.08096848,-0.047633817,-99,2.18,2.72,3.46,2.26,5.21,2.76,1.44,4.36,1.24,3.06,2.65,3.54,3.48,3.57,3.25,3.39,2.76,3.46,2.44,1.22
"196508",2.73,2.74,-1.07,1.87,-0.72,0.33,2.58,-0.034744624,0.073394395,-99,3.62,4.12,4.06,1.58,9.11,6.13,3.53,6.66,1.76,4.35,3.52,4.45,4.23,5.12,7.47,4.91,4.29,4.28,3.4,3.11
"196509",2.86,0.6,-0.11,-1.08,0.84,0.31,3.32,0.026999793,0.062864064,-99,0.05,6.77,3.4,1.91,5.8,3.62,2.33,3.21,0.79,1.87,2.35,2.05,2.66,4.54,3.32,3.1,2.87,2.92,2.9,2.52
"196510",2.6,3.41,1.6,1.23,-0.73,0.31,3.44,0.006197337,-0.02423726,-99,4.06,10.31,6.6,6.98,9.49,2.11,4.2,4.25,1.08,5.84,7.91,6.38,5.68,5.57,5.8,4.62,3.44,3.75,3.54,1.86
"196511",-0.03,5.22,0.23,-1.07,-0.89,0.35,4.41,0.044465972,0.067953131,-99,1.92,7.26,5.07,3.57,14.42,5.08,2.87,4.46,-0.73,5.11,7.6,3.83,2.49,5.53,4.54,3.14,3.27,2.81,1.38,0.12
"196512",1.01,2.69,2.08,-1.04,-0.5,0.33,0.15,0.040876306,0.02494458,-99,3.88,2.56,4.9,4.06,2.65,7.75,3.85,4.91,-0.23,6.42,6.1,4.21,4.71,4.81,2.67,3.54,3.06,1.57,1.83,1.27
"196601",0.72,4.67,3.57,-3.03,-0.06,0.38,5.42,0.039968854,0.023273601,-99,6.28,9.85,7.03,8.83,7.04,-0.04,4.81,4.41,-2.17,7.58,10.32,6.75,6.41,4.76,3.99,3.83,2.1,3.47,2.03,0.21
"196602",-1.21,4.79,0.36,0.11,-1.45,0.35,4.54,0.035016761,0.046739669,-99,2.02,6.8,3.26,3.39,7.38,0.03,2.08,-0.27,-3.53,3.38,6.08,3.47,3.26,1.75,2.1,1.43,0.34,-0.29,-1.6,-2.23
"196603",-2.51,0.24,-2.05,1.26,-0.04,0.38,1.35,-0.066238824,-0.064216672,-99,-2.33,0.3,-1.04,0.2,-1.5,-3.34,-1.32,-1.56,-0.68,0.5,1.29,-1.91,-3.12,-1.37,-2.75,-3.09,-2.96,-1.68,-0.57,-2.03
"196604",2.14,3.37,-0.45,0.42,-0.92,0.34,6.21,0.026812452,0.056303005,-99,1.61,5.84,5.49,4.3,11.6,3.05,4.17,4.7,0.21,4.3,6.38,4.86,6.83,3.65,3.44,3.36,3.06,2.48,2.21,1.6
"196605",-5.66,-5.15,-1.65,1.74,-1.5,0.41,-4.72,-0.121194404,-0.076905033,-99,-7.8,-11.52,-9.23,-6.61,-14.21,-5.98,-7.48,-7.02,-2.69,-9.26,-11.64,-8.56,-8.61,-9.07,-7.83,-6.85,-6.38,-5.73,-4.8,-3.83
"196606",-1.44,1.38,0.49,-0.05,0.77,0.38,3.31,-0.053360838,-0.010892444,-99,-0.93,-1.18,-0.61,-0.71,2.46,-0.45,-0.62,1.95,-1.95,-0.9,-0.89,0.58,0.14,-0.22,-0.48,-0.6,-0.83,0.15,-0.76,-1.53
"196607",-1.63,-0.35,0.82,-0.54,1.64,0.35,-1.41,-0.032997534,0.008644063,-99,-1.61,-1.98,-1.62,-0.82,-2.22,-1.87,-1.97,-1.44,-0.19,-1.77,-1.99,-1.81,-1.12,-2.15,-0.7,-1.08,-1.43,-1.86,-0.8,-1.34
"196608",-7.91,-3.06,0.56,0.2,0.87,0.41,-2.09,-0.10665391,-0.085074676,-99,-10.64,-10.37,-9.85,-10,-8.68,-9.91,-9.3,-9.49,-7.76,-11.84,-11.55,-9.87,-11.22,-10.01,-9.36,-8.94,-8.97,-8.11,-8.04,-7.18
"196609",-1.06,-1.12,0.5,-1.23,2.45,0.4,-1.77,-0.08781642,-0.043587442,-99,-1.8,-3.5,-2.4,0.59,-3.99,-1.92,-1.42,-1.83,3.49,-2.27,-2.57,-1.6,-1.93,-1.65,-1.25,-1.81,-0.96,-1.6,-1.36,-0.47
"196610",3.86,-6.46,2.81,-3.59,4.23,0.45,-5.13,-0.206519452,-0.083260861,-99,-1.18,-4.23,-0.72,0.8,-9.07,5.34,-3.17,2.16,8.67,-2.52,-5.37,-2.64,-0.65,-1.68,0.85,2.21,0.66,3.36,4.96,4.91
"196611",1.4,3.49,-4.6,4.15,-6.7,0.4,5.73,-0.054098778,0.050154311,-99,1.12,1.18,3.39,5.74,12.83,8.07,1.75,7.52,-1.86,7.27,3.57,5.69,3.78,5.04,6.12,3.69,6.52,3.18,2.12,2.96
"196612",0.13,1.95,-1.29,0.91,-0.2,0.4,1.07,-0.023814897,0.045640432,-99,-1.08,0.5,2.78,1.64,4.39,7.12,0.73,1.94,1.79,0.68,0.86,2.36,2.37,1.93,2.07,1.85,2.46,2.45,2.37,0.26
"196701",8.15,9.08,2.03,0.62,-3.19,0.43,-6.75,-0.027405442,0.0124881,-99,16.74,22.03,18.5,11.25,24.2,13.85,15.36,10.14,4.72,20.06,23.23,17.3,19.56,18.41,13.94,14.77,11.77,9.93,8.8,7.61
"196702",0.78,3.09,-2.26,2.11,-0.99,0.36,3.56,-0.07257262,0.015732657,-99,4.99,5.35,4.17,3.08,5.24,5.88,6.38,2.86,-1.16,4.6,8.22,4.79,2.76,2.96,1.95,1.15,1.58,0.48,1.05,-0.03
"196703",3.99,2,0.19,0.67,-1.63,0.39,1.43,-0.008628792,0.036167859,-99,4.86,3.57,7.13,6.68,7.67,7.94,3.96,8.58,1.41,6.64,6.47,6.66,6.66,6.54,5.58,5.56,5.26,5.1,4.29,3.91
"196704",3.89,0.45,-2.54,2.53,-3.69,0.32,0.62,-0.001526762,0.020205721,-99,4.09,5.29,4.32,2.66,6.69,3.83,6.08,5.28,1.82,2.43,4.79,4.14,3.46,3.53,4.02,3.95,3.84,4.64,2.73,3.75
"196705",-4.33,2.36,0.89,-1.88,1.64,0.33,0.59,0.01392071,0.025315405,-99,-0.56,-2.02,-0.62,0.93,-2.29,-4.9,0.3,-4.43,-3.46,0.56,0.97,-0.13,-1.51,-1.22,-2.18,-0.82,-0.77,-2.25,-3.8,-4.28
"196706",2.41,6.52,0.95,-0.65,-2.39,0.27,6.04,-0.06197855,-0.047439232,-99,6.74,9.65,9.2,8.92,14.74,5.9,9.21,6.25,-1.15,7.83,13.3,9.91,6.87,8.23,5.1,4.72,4.08,3.54,2.08,1.23
"196707",4.58,3.23,2.65,-1.58,2.72,0.31,-1.09,-0.028372898,0.015454465,-99,8.85,10.66,7.98,11.38,5.38,2.13,8.37,5.17,2.69,11.48,11.16,8.96,8.78,7.52,6.72,5.94,5.27,6,5.17,5.12
"196708",-0.89,0.74,1.46,0.51,1.4,0.31,-1.41,0.029069793,0.070754329,-99,2.14,2.04,0.09,0.34,-2.7,-0.65,2.05,2.24,-0.05,1.4,2.21,-0.05,0.62,-0.97,0.17,0.02,0.5,-0.61,-0.25,-0.7
"196709",3.11,2.38,-2.46,-0.01,-0.92,0.32,2.55,0.023541225,0.031139949,-99,7.34,8.27,5.04,8.99,9.92,3.07,9.64,6.41,0.03,4.97,9.9,7.44,5.69,4.93,3.28,4.09,4.5,1.33,2.42,2.09
"196710",-3.09,0.49,-3.38,0.9,-2.61,0.39,3.66,-0.030537222,-0.040562433,-99,-1.07,-2.17,-3.57,0.52,-1.13,-8.53,0.47,-5.89,-4.55,-1.34,0.25,-2.45,-3.24,-1.73,-3.69,-2.87,-4.07,-4.96,-5.05,-3.76
"196711",0.37,0,-1.71,1.29,-2.29,0.36,1.29,-0.030663795,-0.010120236,-99,-0.02,-1.85,-0.36,1.68,0.02,-0.48,0.59,1.5,1.92,0.16,-1.56,1.19,0.66,1.08,1.34,0.57,1.86,0.85,0.76,0.73
"196712",3.05,5.72,-0.39,-1.03,0.08,0.33,3.23,0.001591165,0.03500788,-99,6.92,9.43,9,7.85,10.8,2.22,8.28,1.75,2.7,9.19,11.45,9.67,9.39,8.64,7.09,6.22,3.81,2.79,3.01,3.16
"196801",-4.06,4.52,4.77,-3.88,6.48,0.4,-4.64,-0.021520523,0.003377682,-0.020730968,3.45,1.61,0.65,2.33,-3.99,0.38,6.29,-5.26,2.29,6.09,8.91,1.52,1.06,-0.66,-0.49,-2.65,-2.43,-3.39,-2.3,-5.52
"196802",-3.75,-2.91,1.15,-0.09,2.47,0.39,-3.4,-0.034595809,-0.017786353,0.021893099,-4.48,-7.03,-6.42,-6.59,-9.3,-4.62,-3.84,-5.4,-0.96,-4.58,-7.1,-5.67,-5.44,-6.04,-3.94,-4.41,-4.67,-4.32,-3.26,-2.44
"196803",0.2,-1.58,-0.59,1.03,-1.15,0.38,3.18,-0.116931838,-0.080931102,0.010261132,0.11,-0.88,-1.9,1.84,-1.14,-0.96,0.63,-0.16,-3.35,-1.32,-1.97,-0.95,-1.55,-1.33,-1.15,0.66,0.45,-0.35,-0.29,1
"196804",9.05,6.19,-1.02,2.04,-3.67,0.43,5.15,0.022450908,0.089222232,0.009063504,16.14,16.69,14.26,12.44,17.47,12.01,15.65,11,2.96,14.48,17.09,16.52,14.8,14.36,12.71,12.7,10.46,10.44,9.44,8.39
"196805",2.28,6.95,0.85,-0.22,-1.84,0.45,3.73,-0.020611245,0.010579341,-0.017026481,10.66,9.69,8.44,8.57,9.27,8.31,13.56,5.75,0.74,11.22,15.76,8.59,9.04,6.99,5.73,6.31,5.22,3.85,2.41,1.28
"196806",0.69,-0.26,0.68,-1,2.76,0.43,-1.92,0.008224888,0.034036851,-0.000337573,2.54,-0.5,0.85,2.18,-2.51,3.48,1.4,1.01,8.56,2.42,2.33,0.04,0.22,0.87,2.31,0.18,2.55,2.07,2.44,1.74
"196807",-2.72,-1.37,5.48,-3.16,3.6,0.48,-0.85,-0.010495543,0.009255596,-0.036022655,-2.2,-3.69,-3.55,0.43,-6.92,-5.86,-3.22,-3.75,0.48,-0.92,-1.56,-3.63,-1.71,-5.08,-2.71,-4.88,-5.45,-2.58,-2.31,-2.79
"196808",1.34,2.29,1.01,-0.57,0.42,0.42,1.88,-0.020198654,-0.007247701,0.0056594,4.03,3.63,3.9,3.19,1.92,5.89,5.27,2.11,-0.76,4.31,4.9,4.33,3.85,2.82,3.91,2.64,1.22,2.73,1.43,1.43
"196809",4.03,2.8,0.26,-2.19,0.9,0.43,-0.66,-0.008706623,0.01568734,0.009775848,6.85,9.98,6.18,7.27,6.25,8.21,8.12,1.59,0.46,9.67,8.04,6.68,6.97,7.03,7.19,4.98,7.1,6.99,5.41,3.56
"196810",0.42,-0.44,2.91,-1.36,2.77,0.44,-1.52,0.006605193,0.027552838,-0.001356843,1.19,1.21,0.48,-0.1,-2.95,1.47,3.96,-0.47,1.4,0.78,0.39,0.23,1.2,0.05,1.75,1.3,1.21,0.7,1.55,0.91
"196811",5.43,2.43,-0.9,0.49,-2.5,0.42,1.73,-0.000225964,0.016840505,-0.009035536,5.78,7,6.86,8.08,8.03,6.72,7.04,8.47,8.52,8.07,6.53,7.18,8.32,8.66,8.28,8.12,8.14,7.11,6.6,6.04
"196812",-3.94,3.6,0.02,-1.76,1.65,0.43,0.1,-0.028572054,-0.009430544,0.012288868,0.45,0.23,0.77,4.88,-0.12,-4.43,0.67,-0.64,-3.02,0.64,4.21,1.51,-0.95,-1.12,-1.56,-2.45,-2.86,-3.38,-2.67,-3.1
"196901",-1.25,-0.48,1.69,-1.52,1.37,0.53,-0.15,-0.033784758,-0.006227108,0.022415343,-0.62,-1.14,-0.62,0.83,-2.36,-2.44,-1.22,-0.49,2.28,0.91,0.34,-0.61,-0.59,-0.47,-0.91,-1.93,-2.07,0.49,0.05,-0.88
"196902",-5.84,-4.11,0.92,2.1,0.79,0.46,-2.49,-0.025028028,0.01236188,0.05730402,-8.88,-8.23,-8.67,-10.57,-10.46,-8.53,-8.37,-6.11,-4.37,-8.9,-10.54,-9.31,-8.2,-8.35,-7.9,-7.56,-7.59,-6.95,-5.62,-4.87
"196903",2.64,-0.41,-0.45,-1.4,-0.42,0.46,3.95,-0.022565304,0.007838573,-0.015186961,0.29,3.67,2.39,6.69,0.91,0.59,2.42,3.64,-1.62,2.02,2.09,2.35,1.8,1.65,1.83,1.45,1.39,2.17,0.94,3.19
"196904",1.46,-0.81,0.06,0.33,0.11,0.53,1.17,-0.012528958,0.010300208,0.015200954,-0.6,1.15,-1.06,0.29,1,3.34,1.09,3.92,0.97,2.08,-0.66,0.44,0.77,0.78,0.84,0.65,1.49,0.61,2.04,1.91
"196905",-0.1,-0.18,0.73,-1.02,1.51,0.48,1.68,0.011488125,0.04692637,0.008663908,0.2,-0.1,-0.37,8.7,-0.85,3.31,1.41,2.46,-0.2,-0.52,1.74,0.36,-0.45,-1.77,0.07,-0.41,0.04,-0.32,-0.93,0.56
"196906",-7.18,-5.47,-1.1,4.23,-1.53,0.51,-2.23,-0.047358946,-0.037871617,0.057603871,-10.86,-11.43,-11.5,-11.21,-12.85,-8.83,-11.83,-8.09,-5.82,-12.91,-13.59,-13.19,-11.37,-11.13,-11.22,-10.41,-9.51,-7.53,-6.62,-6.71
"196907",-7,-3.36,1.41,1.33,1.96,0.53,1.64,-0.122444028,-0.090017276,0.03232117,-9.69,-9.67,-9.33,-10.24,-12.01,-10.85,-10.99,-4.04,-3.1,-10.42,-11.62,-11.31,-9.75,-8.85,-8.48,-8.26,-7.25,-6.9,-6.27,-5.79
"196908",4.68,0.7,-3.85,1.2,-4.07,0.5,2.13,-0.087129504,-0.043677519,-0.012760972,3.84,4.89,4.44,6.62,6.6,3.89,7.25,10.44,-1.06,7.14,4.07,5.73,6.24,5.12,8.3,6.67,5.26,6.43,4.08,5.56
"196909",-2.98,1.31,-3.21,3.32,-0.88,0.62,2.53,0.013156871,0.090504307,0.020723512,-2.78,-3.2,-2.35,-8.8,-2.35,-1.95,-1.22,1.84,-3.72,-1.36,-3.75,-3.5,-1.14,-0.13,-1.04,-1.14,-1.61,-2.11,-1.1,-3.03
"196910",5.06,3.87,-3.22,-0.16,-2.02,0.6,-4.33,-0.060644336,-0.025353709,-0.059202497,8.79,10.61,8.72,3.33,16.93,13.61,10.15,11.13,7.48,7.81,11.79,9.8,9.08,9.18,7.36,7.58,7.84,6.89,6.99,5.42
"196911",-3.79,-2.41,-1.11,1.31,0.31,0.52,3.6,0.016293009,0.041599532,0.031732891,-5.6,-7.24,-5.7,-5.23,-5.25,-1.48,-5.09,-1.41,-4.3,-6.95,-7.32,-6.69,-4.87,-4.24,-5.46,-4.54,-4.07,-3.8,-3.46,-3.32
"196912",-2.63,-3.7,-3.08,2.12,-2.08,0.64,5.04,-0.019720936,-0.024037145,0.026402553,-6.82,-10,-6.02,-7.64,-7.95,-1.96,-7.16,0.61,-1.41,-8.94,-10.73,-7.31,-7.84,-5.47,-3.7,-4.18,-1.96,-2.14,-2.69,-1.56
"197001",-8.1,3.09,3.07,-1.97,3.88,0.6,0.63,-0.110173381,-0.066136005,0.02112288,-2.68,-4.52,-3.15,-3.53,-5.55,-7.74,-4.46,-4.11,-2.95,-5.08,0.24,-5.21,-5.34,-4.45,-6.91,-6.85,-7.02,-8.37,-6.1,-8.63
"197002",5.13,-2.57,4.02,-2.15,3.02,0.62,0.12,-0.081388086,-0.008780259,-0.054682738,3.55,-0.61,3.76,5.23,3.32,7.22,2.58,4.13,6.83,6.89,2.81,3.82,3.91,3.68,3.87,4.87,4.38,6.81,7.86,7.02
"197003",-1.06,-2.43,4.25,-1.07,4.43,0.57,-0.28,-0.138437526,-0.063319302,0.002420451,-1.5,-0.96,-1.64,-4.67,-6.6,-3.94,-3.44,-4.91,3.22,-2.59,-3.62,-3.2,-2.29,-2.98,-1.49,-0.78,-0.18,-0.67,-0.26,-1.01
